74.13, green, white
71.99, green, white
9.79, red, white
66.98, green, black
70.93, green, black
53.03, green, white
58.6, green, white
19.33, red, black
57.17, green, black
18.94, red, white
66.93, green, white
69.43, green, black
84.64, green, black
70.21, green, black
73.16, green, black
81.11, green, black
30.54, red, white
61.3, green, white
81.31, green, white
34.4, red, black
33.24, red, white
30.8, red, white
44.56, red, black
22.89, red, white
26.3, red, white
75.98, green, white
63.83, green, white
64.29, green, black
18.35, red, white
76.09, green, black
36.09, red, white
83.93, green, white
70.3, green, black
29.5, red, black
45.6, red, black
33.15, red, black
50.51, red, white
88.27, green, black
31.35, red, black
57.12, green, white
69.67, green, black
30.6, red, black
67.27, green, white
64.5, green, white
70.19, green, white
86.78, green, white
28.64, red, white
76.08, green, black
71.65, green, black
27.52, red, white
79.02, green, white
59.72, green, white
37.12, red, black
69.2, green, black
63.19, green, white
86.82, green, white
51.22, red, black
77.4, green, white
78.26, green, white
56.49, green, black
76.23, green, white
79.18, green, white
55.3, green, white
28.48, red, black
68.3, green, black
22.45, red, black
81.43, green, black
35.36, red, black
77.23, green, white
14.41, red, white
35.47, red, white
60.82, green, black
77.6, green, black
50.55, green, black
33.13, red, white
32.64, red, black
32.13, red, white
67.61, green, white
15.67, red, black
55.04, green, white
78.99, green, black
25.99, red, white
42.4, red, white
25.33, red, black
59.98, green, black
80.36, green, black
42.01, red, black
20.77, red, black
47.0, red, white
31.72, red, black
68.25, green, black
26.54, red, black
63.73, green, black
75.93, green, white
72.66, green, black
38.9, red, black
69.57, green, black
25.75, red, black
36.53, red, white
32.17, red, white
24.83, red, black
14.79, red, white
66.08, green, black
22.45, red, black
18.53, red, black
76.93, green, white
68.08, green, black
63.3, green, black
24.63, red, black
61.74, green, white
65.3, green, white
32.64, red, white
51.92, red, black
68.56, green, black
24.35, red, black
61.04, green, white
55.02, green, white
34.37, red, black
67.87, green, white
63.53, green, black
35.69, red, white
39.41, red, black
28.17, red, black
61.5, green, white
57.24, green, white
15.2, red, white
71.34, green, black
31.29, red, white
64.89, green, white
87.39, green, white
16.45, red, white
75.04, green, white
18.3, red, black
34.52, red, white
36.94, red, white
66.83, green, white
22.26, red, black
66.84, green, black
32.86, red, white
18.94, red, white
46.29, red, black
56.22, green, black
50.12, red, white
74.74, green, black
73.78, green, white
16.09, red, white
45.57, red, white
22.92, red, black
22.02, red, black
78.62, green, black
19.06, red, white
66.67, green, white
29.98, red, white
62.31, green, black
68.96, green, black
76.42, green, black
35.19, red, white
39.14, red, white
62.93, green, white
59.9, green, white
30.61, red, white
83.98, green, white
59.24, green, white
72.87, green, black
30.42, red, white
44.89, red, black
75.84, green, white
68.91, green, black
71.43, green, white
64.95, green, black
80.47, green, black
18.77, red, white
19.83, red, white
77.43, green, black
32.62, red, black
31.59, red, black
12.0, red, black
44.85, red, white
47.25, red, black
95.1, green, white
27.41, red, black
10.86, red, black
65.62, green, black
68.18, green, black
98.26, green, black
29.12, red, black
66.88, green, white
64.24, green, black
35.98, red, white
73.92, green, black
45.83, red, white
73.24, green, white
36.7, red, white
35.98, red, white
62.95, green, black
72.63, green, white
34.81, red, black
71.68, green, white
12.54, red, black
63.29, green, black
68.02, green, white
67.71, green, white
8.33, red, white
33.26, red, white
84.17, green, black
18.67, red, white
51.46, green, black
24.24, red, white
28.8, red, white
66.67, green, black
43.02, red, white
28.53, red, white
62.52, green, white
65.42, green, black
77.11, green, black
28.99, red, white
72.82, green, black
24.23, red, white
65.98, green, black
17.7, red, white
47.08, red, white
87.11, green, black
66.87, green, black
72.99, green, white
24.33, red, white
25.51, red, white
82.43, green, white
38.47, red, white
72.49, green, white
34.58, red, white
54.15, green, white
77.67, green, black
48.2, red, black
69.52, green, black
92.51, green, black
68.62, green, white
65.67, green, black
36.73, red, black
75.92, green, white
23.89, red, white
85.66, green, black
66.7, green, white
43.81, red, white
81.49, green, white
59.72, green, black
32.44, red, white
31.78, red, black
63.81, green, white
17.44, red, black
25.14, red, black
23.85, red, white
29.33, red, white
83.58, green, black
68.7, green, white
75.41, green, black
57.89, green, white
76.14, green, black
28.26, red, white
28.36, red, white
25.37, red, black
44.08, red, white
61.25, green, black
24.79, red, white
30.83, red, white
90.91, green, white
70.36, green, white
38.35, red, white
89.47, green, white
29.58, red, black
66.16, green, white
65.33, green, white
22.9, red, white
40.85, red, black
32.23, red, white
12.72, red, white
36.19, red, white
28.7, red, black
68.79, green, black
45.9, red, black
39.6, red, black
63.51, green, black
15.82, red, black
72.71, green, black
28.37, red, white
55.63, red, black
61.5, green, white
76.31, green, black
37.36, red, white
66.83, green, black
28.19, red, white
68.32, green, black
57.38, green, black
34.13, red, black
35.82, red, black
60.41, green, white
28.52, red, black
79.96, green, white
25.86, red, black
78.34, green, black
45.8, red, black
49.59, green, white
66.48, green, black
37.47, red, white
82.01, green, white
49.59, red, white
71.87, green, black
71.39, green, black
54.65, green, black
41.75, red, black
31.51, red, white
34.75, red, white
37.11, red, white
39.3, red, black
38.56, red, white
34.73, red, white
50.86, green, white
76.45, green, black
63.34, green, white
70.95, green, black
64.45, green, black
15.6, red, black
70.47, green, black
68.76, green, white
24.03, red, white
37.06, red, white
70.32, green, white
72.68, green, black
27.15, red, white
25.6, red, white
64.77, green, white
74.52, green, white
69.68, green, white
74.9, green, black
8.11, red, black
55.73, green, black
64.65, green, white
40.72, red, white
70.0, green, white
15.71, red, white
24.29, red, black
34.23, red, black
48.92, red, white
16.56, red, black
29.17, red, black
71.19, green, black
68.72, green, black
77.23, green, white
76.68, green, black
35.92, red, white
24.26, red, black
40.23, red, black
78.47, green, white
40.34, red, white
22.63, red, black
85.02, green, white
23.14, red, white
75.24, green, white
34.25, red, white
22.47, red, white
71.48, green, white
74.36, green, black
79.86, green, white
31.4, red, black
43.92, red, white
74.95, green, white
20.52, red, white
34.57, red, white
69.21, green, black
25.89, red, white
28.36, red, black
42.05, red, white
57.99, green, black
72.8, green, white
49.63, red, white
60.38, green, white
38.23, red, black
41.46, red, white
83.23, green, white
86.32, green, black
13.27, red, white
85.52, green, black
47.65, red, white
81.14, green, black
40.34, red, black
14.89, red, white
21.91, red, black
75.49, green, black
44.15, red, black
80.23, green, black
25.13, red, black
63.93, green, black
67.57, green, black
45.38, red, black
31.5, red, white
76.29, green, black
36.42, red, black
29.31, red, black
72.32, green, black
66.54, green, black
44.96, red, white
71.44, green, white
66.37, green, white
37.44, red, white
59.57, green, black
4.62, red, black
30.25, red, black
69.33, green, white
77.26, green, black
79.04, green, white
48.02, green, black
40.72, red, black
37.6, red, black
22.02, red, white
80.59, green, white
52.47, red, white
28.94, red, black
75.3, green, black
28.61, red, white
66.4, green, white
90.55, green, black
67.27, green, white
21.34, red, white
64.11, green, white
31.66, red, black
76.47, green, black
72.99, green, white
64.68, green, white
69.96, green, black
70.24, green, black
29.7, red, white
21.84, red, black
15.38, red, white
53.89, red, black
39.56, red, black
70.16, green, white
76.35, green, white
81.5, green, black
28.43, red, black
39.33, red, black
25.26, red, white
21.33, red, black
86.64, green, black
41.99, red, white
73.96, green, black
76.44, green, black
31.44, red, white
25.62, red, black
79.77, green, black
72.22, green, black
26.07, red, black
64.07, green, black
60.77, green, black
68.99, green, white
11.28, red, white
70.7, green, white
26.64, red, black
76.58, green, black
66.39, green, white
72.35, green, black
69.16, green, white
37.87, red, black
85.12, green, black
67.33, green, white
59.12, green, black
68.42, green, white
45.02, red, white
75.52, green, black
49.95, green, white
72.41, green, white
62.74, green, white
61.93, green, black
66.93, green, white
83.73, green, black
24.31, red, black
43.59, red, black
22.5, red, black
58.26, green, white
36.27, red, black
30.12, red, black
33.07, red, black
75.99, green, white
25.35, red, white
40.5, red, black
30.97, red, black
82.56, green, white
69.0, green, black
6.55, red, white
72.32, green, white
22.11, red, white
31.22, red, white
77.39, green, white
55.56, green, white
15.45, red, white
37.7, red, white
75.29, green, white
73.11, green, white
32.46, red, white
18.1, red, white
74.1, green, white
73.44, green, black
48.27, red, black
42.42, red, white
62.4, green, white
33.2, red, white
81.49, green, black
49.04, red, black
69.49, green, white
63.03, green, white
21.58, red, white
92.79, green, black
27.1, red, white
40.27, red, white
17.1, red, black
26.93, red, white
60.91, green, black
93.58, green, black
42.87, red, white
78.61, green, black
26.33, red, white
25.19, red, black
77.57, green, black
82.56, green, black
36.45, red, white
7.31, red, white
18.89, red, white
60.48, green, black
84.85, green, black
19.39, red, white
79.32, green, white
39.23, red, white
79.13, green, black
87.05, green, black
59.08, red, black
83.41, green, black
43.49, red, black
78.01, green, white
26.74, red, white
66.23, green, white
67.64, green, black
54.66, green, white
42.72, red, black
71.17, green, black
32.83, red, white
33.72, red, white
71.28, green, black
26.17, red, white
19.56, red, black
26.44, red, black
75.67, green, black
28.52, red, white
67.76, green, black
37.29, red, white
59.34, green, black
34.9, red, white
24.09, red, white
65.6, green, white
34.13, red, black
54.49, green, black
53.35, green, white
27.13, red, white
21.75, red, black
33.21, red, white
68.51, green, white
83.27, green, black
70.93, green, black
79.78, green, black
73.16, green, black
28.78, red, white
73.7, green, white
61.36, green, black
67.66, green, white
85.59, green, black
54.93, green, black
64.41, green, black
54.61, green, white
64.22, green, black
43.27, red, white
75.83, green, white
73.71, green, white
66.35, green, black
45.75, red, white
43.21, red, white
34.12, red, black
66.98, green, black
78.3, green, black
33.95, red, black
71.32, green, black
73.22, green, black
70.01, green, black
58.1, green, white
32.59, red, black
27.59, red, black
69.49, green, black
87.66, green, black
25.51, red, black
65.5, green, white
28.33, red, white
77.66, green, black
46.52, red, white
29.31, red, black
83.55, green, white
69.54, green, black
25.26, red, black
60.53, green, white
66.83, green, black
57.66, green, black
28.63, red, white
70.63, green, black
76.9, green, black
75.29, green, black
74.14, green, white
31.19, red, white
44.75, red, white
28.53, red, white
67.69, green, white
23.05, red, white
72.22, green, black
57.78, green, black
84.33, green, black
75.89, green, black
25.25, red, black
47.44, red, white
43.68, green, black
70.58, green, white
35.29, red, white
62.85, green, black
50.13, green, black
37.22, red, black
44.06, red, black
48.03, green, white
26.46, red, black
72.23, green, black
73.81, green, black
83.72, green, black
76.66, green, black
38.54, red, black
69.42, green, white
20.17, red, black
77.78, green, white
13.05, red, black
17.58, red, white
28.0, red, white
33.38, red, black
23.65, red, black
77.25, green, white
81.22, green, white
39.01, red, white
23.17, red, black
17.95, red, black
74.76, green, white
70.36, green, black
9.28, red, black
59.07, green, black
23.53, red, black
8.16, red, black
71.04, green, white
19.97, red, black
55.25, green, white
32.01, red, black
72.05, green, white
73.58, green, black
58.58, green, white
90.44, green, black
54.24, green, black
35.48, red, black
9.17, red, white
57.39, green, white
7.77, red, white
53.42, green, white
33.29, red, white
57.19, green, black
81.8, green, black
14.04, red, white
83.45, green, white
66.63, green, black
63.64, green, white
65.55, green, white
69.67, green, white
65.27, green, black
68.28, green, white
22.57, red, black
80.97, green, black
56.03, green, black
41.06, red, white
24.51, red, black
31.44, red, black
58.8, green, black
29.55, red, white
28.7, red, black
38.52, red, white
34.0, red, white
61.76, green, white
62.56, green, white
31.46, red, white
75.4, green, black
78.86, green, black
11.41, red, black
32.47, red, black
42.41, red, white
19.16, red, black
32.36, red, black
37.47, red, white
71.0, green, black
76.6, green, white
52.36, red, white
18.2, red, white
67.68, green, white
77.62, green, black
69.01, green, black
67.37, green, white
63.75, green, white
31.91, red, black
58.2, green, white
24.41, red, black
37.13, red, white
44.49, red, black
78.67, green, white
80.08, green, white
59.78, green, white
62.71, green, black
47.01, red, white
24.63, red, black
42.99, red, white
58.22, green, white
80.75, green, white
32.7, red, white
21.17, red, white
61.13, green, black
80.21, green, black
30.14, red, white
31.2, red, white
35.5, red, white
19.91, red, white
73.75, green, white
32.98, red, black
25.27, red, black
19.04, red, white
72.89, green, white
27.19, red, white
28.21, red, white
56.98, green, black
79.57, green, black
21.95, red, black
26.54, red, black
32.44, red, white
39.66, red, white
68.78, green, black
43.85, red, black
72.67, green, white
14.65, red, black
56.61, green, black
26.05, red, white
72.11, green, white
14.64, red, black
2.93, red, black
34.17, red, white
74.8, green, white
35.61, red, black
76.86, green, black
31.46, red, black
83.39, green, black
40.74, red, black
70.64, green, white
62.17, green, black
70.31, green, white
34.31, red, black
81.54, green, black
73.03, green, black
26.68, red, white
69.45, green, black
50.52, red, white
29.86, red, white
31.2, red, white
62.95, green, white
74.23, green, black
60.47, green, white
22.5, red, white
13.24, red, black
70.01, green, black
62.76, green, white
38.71, red, white
15.02, red, black
77.78, green, black
101.6, green, black
21.12, red, white
50.61, red, black
70.14, green, black
22.39, red, black
14.29, red, black
50.05, green, white
40.92, red, black
64.11, green, white
98.35, green, white
19.54, red, black
16.15, red, black
33.66, red, black
34.22, red, black
71.0, green, black
60.41, green, white
31.73, red, black
61.64, green, white
64.7, green, black
41.18, red, black
32.86, red, black
79.89, green, black
72.99, green, black
87.41, green, white
66.95, green, white
71.29, green, black
34.3, red, black
17.84, red, black
66.96, green, black
47.3, red, white
15.58, red, black
25.67, red, black
66.02, green, black
67.17, green, black
38.55, red, black
85.08, green, black
26.68, red, black
27.15, red, black
84.45, green, white
43.94, red, white
74.67, green, black
38.42, red, white
73.31, green, black
27.71, red, white
22.95, red, black
18.9, red, black
66.81, green, black
78.68, green, black
38.55, red, black
18.87, red, white
30.38, red, white
63.03, green, black
50.33, green, white
21.36, red, black
23.94, red, white
87.24, green, black
9.85, red, white
77.14, green, black
72.97, green, white
15.56, red, black
35.49, red, white
53.2, red, white
46.37, green, black
36.93, red, black
30.44, red, black
35.75, red, white
83.35, green, black
64.32, green, white
29.55, red, white
77.78, green, black
42.33, red, black
76.71, green, white
34.58, red, white
72.97, green, black
71.63, green, white
23.42, red, white
36.51, red, white
87.1, green, white
26.88, red, black
83.75, green, white
70.14, green, white
30.92, red, black
52.36, green, black
81.12, green, black
72.07, green, black
27.41, red, black
68.62, green, black
83.01, green, white
80.9, green, black
26.9, red, black
54.89, green, black
39.35, red, white
74.54, green, black
75.59, green, white
33.33, red, black
73.13, green, black
58.68, green, white
68.77, green, white
83.16, green, black
80.56, green, black
73.68, green, black
43.42, red, white
29.49, red, white
28.09, red, black
56.72, green, white
69.38, green, white
19.23, red, white
14.91, red, black
35.79, red, black
75.53, green, white
78.35, green, white
45.9, red, white
83.72, green, white
79.67, green, white
66.99, green, white
31.97, red, black
28.99, red, black
29.52, red, black
30.42, red, white
40.0, red, black
77.12, green, black
65.6, green, black
23.25, red, white
80.71, green, black
73.14, green, white
70.55, green, white
24.53, red, white
86.4, green, black
34.49, red, black
87.81, green, white
34.01, red, white
72.49, green, white
65.2, green, white
76.25, green, white
68.36, green, black
28.67, red, white
66.02, green, black
91.25, green, white
23.78, red, white
59.67, green, black
39.8, red, white
23.57, red, white
67.13, green, white
19.93, red, black
22.73, red, white
33.04, red, white
70.33, green, white
82.56, green, white
63.01, green, white
67.32, green, white
34.58, red, white
27.28, red, white
16.54, red, black
61.28, green, white
31.9, red, black
73.64, green, black
72.94, green, black
71.62, green, white
64.46, green, white
75.81, green, white
82.01, green, white
75.63, green, white
27.64, red, white
49.92, red, black
38.82, red, black
76.73, green, black
62.12, green, black
84.59, green, white
51.34, green, white
36.82, red, black
72.44, green, black
0.25, red, white
73.0, green, white
10.75, red, black
33.18, red, white
75.83, green, black
33.22, red, white
84.89, green, white
84.09, green, black
27.98, red, white
65.84, green, white
28.7, red, white
33.53, red, black
25.85, red, black
59.32, green, white
72.95, green, black
91.51, green, black
78.82, green, white
76.56, green, white
23.92, red, black
75.47, green, white
42.03, red, black
42.86, red, white
44.71, red, black
64.3, green, white
28.06, red, white
69.39, green, white
83.26, green, white
28.17, red, black
23.64, red, white
24.37, red, white
19.15, red, white
64.42, green, white
57.53, green, black
32.56, red, black
67.57, green, black
37.44, red, white
51.92, green, black
41.08, red, black
27.14, red, white
22.29, red, black
77.74, green, white
71.39, green, black
22.65, red, black
74.55, green, black
64.39, green, black
90.16, green, black
66.39, green, black
87.36, green, white
73.56, green, black
81.92, green, black
71.82, green, white
49.27, red, white
30.5, red, white
63.97, green, black
76.29, green, black
77.56, green, white
68.6, green, black
20.74, red, white
48.01, green, white
31.47, red, black
28.64, red, white
58.6, green, white
94.05, green, white
84.33, green, black
28.54, red, white
36.08, red, black
10.13, red, white
23.71, red, white
34.05, red, white
33.83, red, white
33.88, red, black
73.3, green, black
64.8, green, black
17.39, red, black
73.66, green, black
43.99, red, black
88.37, green, black
25.94, red, black
65.74, green, white
39.83, red, white
23.44, red, white
23.5, red, white
19.64, red, black
32.9, red, black
24.76, red, white
46.97, green, white
31.3, red, white
88.6, green, white
44.32, red, black
69.49, green, white
43.94, red, white
72.97, green, white
68.25, green, black
48.02, green, black
57.74, green, white
30.25, red, black
29.62, red, white
37.76, red, white
61.05, green, black
34.29, red, white
15.78, red, white
36.39, red, black
30.25, red, white
44.91, red, black
28.2, red, white
78.74, green, white
20.53, red, white
62.61, green, white
19.01, red, black
67.55, green, black
30.95, red, black
64.03, green, black
43.5, green, black
56.39, green, black
56.94, green, black
35.88, red, black
23.96, red, black
78.53, green, black
36.32, red, white
71.3, green, black
35.04, red, black
27.11, red, white
23.0, red, white
60.89, green, white
30.79, red, black
22.69, red, black
69.92, green, white
24.7, red, black
21.32, red, black
36.52, red, black
60.81, green, black
68.89, green, white
26.11, red, black
73.0, green, white
71.01, green, white
24.43, red, white
32.91, red, white
16.59, red, white
31.06, red, white
76.65, green, black
49.05, green, white
27.17, red, black
9.1, red, black
75.49, green, white
76.71, green, black
59.62, green, black
59.0, green, white
74.98, green, black
77.87, green, white
69.3, green, black
73.4, green, black
22.05, red, black
23.79, red, white
40.68, red, white
68.49, green, white
70.56, green, black
19.63, red, white
45.12, red, white
75.28, green, white
62.47, green, black
39.72, red, black
18.96, red, white
28.58, red, white
72.74, green, white
28.65, red, white
15.62, red, black
69.26, green, white
55.57, green, white
64.93, green, white
72.87, green, white
43.87, red, black
29.6, red, white
74.57, green, black
85.16, green, black
25.93, red, black
75.44, green, black
29.83, red, black
32.97, red, white
23.93, red, black
33.75, red, black
37.36, red, black
79.14, green, white
17.28, red, white
15.58, red, white
22.9, red, white
19.52, red, white
40.32, red, black
68.29, green, black
82.06, green, black
30.64, red, black
28.66, red, white
72.01, green, black
35.97, red, black
68.02, green, white
39.35, red, black
82.97, green, white
57.26, green, white
27.83, red, black
26.52, red, black
50.2, green, white
23.07, red, black
25.5, red, black
28.2, red, white
41.6, red, white
47.11, green, white
18.64, red, white
24.99, red, white
33.65, red, white
13.84, red, white
74.16, green, black
62.19, green, white
56.68, green, black
22.71, red, black
20.5, red, white
60.2, green, black
56.7, green, black
32.06, red, black
27.41, red, white
74.15, green, white
31.63, red, white
15.14, red, white
58.15, green, white
58.37, green, black
67.24, green, white
64.51, green, white
70.55, green, white
74.62, green, black
40.73, red, white
50.1, green, black
65.17, green, white
68.65, green, black
24.08, red, white
73.69, green, white
24.66, red, black
44.62, red, black
39.39, red, black
63.81, green, white
21.05, red, white
75.21, green, white
59.13, green, black
30.78, red, white
66.72, green, black
62.76, green, white
29.95, red, white
60.66, green, black
73.82, green, white
61.6, green, white
21.64, red, white
86.92, green, white
70.1, green, black
66.61, green, black
33.31, red, white
74.54, green, black
62.64, green, black
22.44, red, black
66.37, green, black
17.89, red, black
71.96, green, black
38.76, red, black
33.93, red, white
71.11, green, black
77.94, green, white
32.08, red, white
71.12, green, black
40.93, red, white
51.7, red, black
49.09, red, white
57.12, green, white
60.93, green, white
19.01, red, white
32.45, red, black
82.31, green, black
59.69, red, black
72.02, green, black
33.68, red, black
71.67, green, white
32.12, red, black
32.74, red, black
15.11, red, black
54.99, red, white
68.2, green, white
76.61, green, black
24.81, red, white
62.79, green, black
25.05, red, black
78.28, green, black
70.66, green, white
81.89, green, black
20.29, red, black
29.09, red, white
72.1, green, black
34.02, red, black
76.05, green, white
20.37, red, white
32.05, red, white
73.23, green, black
22.05, red, black
28.32, red, white
60.69, green, black
5.76, red, black
73.56, green, white
44.51, red, black
81.74, green, white
18.83, red, black
61.94, green, white
75.16, green, white
75.92, green, black
71.59, green, black
61.04, green, white
38.27, red, white
26.42, red, white
84.51, green, white
67.19, green, black
40.79, red, white
70.46, green, white
72.67, green, black
66.28, green, white
53.59, green, white
70.17, green, black
24.44, red, white
36.38, red, black
26.06, red, white
45.07, red, black
19.68, red, black
49.05, green, white
71.29, green, black
36.97, red, white
58.83, green, white
36.26, red, white
68.48, green, white
63.08, green, white
30.33, red, black
63.59, green, black
31.05, red, white
62.97, green, black
73.67, green, white
29.61, red, white
61.23, green, white
41.89, red, white
75.04, green, white
40.69, red, white
61.15, green, white
85.74, green, white
41.48, red, white
31.71, red, black
28.33, red, white
38.35, red, black
68.34, green, black
27.91, red, white
33.43, red, black
87.55, green, white
66.61, green, white
57.88, green, black
45.8, green, white
70.62, green, white
59.39, red, black
74.21, green, black
62.62, green, white
22.45, red, black
60.79, green, white
34.14, red, white
59.5, green, black
78.08, green, black
74.22, green, black
72.9, green, white
36.16, red, white
32.2, red, black
47.54, red, black
44.37, red, black
66.95, green, black
87.4, green, black
-1.54, red, black
68.04, green, black
22.44, red, black
34.33, red, white
75.18, green, black
79.59, green, white
57.65, green, white
35.04, red, black
69.21, green, black
29.39, red, black
82.4, green, black
43.77, red, black
15.44, red, white
61.41, green, white
63.59, green, black
38.51, red, white
75.16, green, white
52.56, green, white
68.07, green, white
78.92, green, black
24.54, red, black
63.3, green, black
61.16, green, black
66.54, green, white
59.96, green, white
42.48, red, white
71.46, green, white
68.76, green, black
79.18, green, white
47.54, red, black
38.62, red, black
21.19, red, white
32.29, red, white
34.71, red, black
93.96, green, black
65.07, green, black
25.28, red, black
70.4, green, black
59.04, green, black
89.57, green, black
37.9, red, black
17.19, red, black
83.56, green, black
10.21, red, black
61.42, green, black
29.91, red, white
40.13, red, white
19.41, red, white
79.62, green, black
24.97, red, white
56.4, green, white
22.38, red, black
56.55, green, white
24.88, red, white
46.98, red, white
72.25, green, black
37.9, red, white
41.26, red, white
32.13, red, white
69.57, green, white
66.16, green, white
18.81, red, black
79.15, green, black
16.15, red, white
41.86, red, white
28.17, red, white
26.89, red, white
34.05, red, black
38.8, red, white
78.08, green, black
91.12, green, white
65.58, green, black
80.94, green, black
19.47, red, black
64.98, green, white
24.51, red, black
41.57, red, white
58.65, green, white
80.75, green, white
13.82, red, white
30.95, red, black
26.17, red, white
46.81, red, black
63.78, green, white
39.05, red, black
17.94, red, black
40.07, red, white
41.21, red, white
29.87, red, white
61.66, green, black
49.96, green, black
21.82, red, black
57.45, green, black
40.8, red, white
51.9, green, black
69.99, green, black
59.64, green, white
70.81, green, white
63.87, green, white
24.42, red, white
69.79, green, white
74.43, green, black
73.87, green, white
60.65, green, black
32.91, red, white
26.66, red, white
75.69, green, white
30.14, red, black
27.04, red, white
29.22, red, white
59.83, green, white
77.11, green, white
60.65, green, white
76.71, green, black
13.24, red, black
40.44, red, white
18.79, red, white
42.22, red, black
17.01, red, black
66.85, green, black
30.0, red, black
23.28, red, white
57.85, green, white
75.87, green, white
66.39, green, white
33.36, red, white
73.8, green, black
70.61, green, white
68.77, green, black
58.29, green, white
33.32, red, white
62.9, green, white
23.46, red, black
25.46, red, black
29.24, red, white
9.15, red, black
30.31, red, white
32.04, red, white
27.78, red, white
62.16, green, white
3.12, red, black
26.34, red, white
42.75, red, black
9.41, red, black
24.69, red, white
51.96, green, black
60.04, green, white
26.65, red, white
27.56, red, black
87.99, green, white
32.7, red, white
56.69, green, black
70.4, green, black
36.92, red, black
14.71, red, white
47.97, red, white
74.36, green, black
14.44, red, black
66.94, green, black
33.66, red, white
36.9, red, black
13.43, red, white
46.83, red, black
69.89, green, white
40.25, red, black
12.91, red, white
31.17, red, black
37.31, red, black
41.66, red, white
39.97, red, black
29.46, red, white
27.97, red, black
75.46, green, white
75.4, green, white
59.27, green, black
58.72, green, white
64.47, green, black
43.14, red, black
72.48, green, white
21.33, red, white
89.57, green, black
14.25, red, white
67.36, green, white
3.19, red, white
11.62, red, black
80.12, green, black
41.31, red, black
27.7, red, white
43.54, red, white
12.18, red, white
93.48, green, black
28.08, red, white
70.62, green, white
26.36, red, white
75.14, green, white
31.28, red, white
72.55, green, white
35.03, red, black
35.3, red, white
55.67, green, white
71.47, green, white
52.08, green, black
27.61, red, black
20.73, red, black
60.22, green, white
64.83, green, white
75.69, green, black
54.83, green, white
54.91, green, white
36.37, red, white
90.48, green, white
25.3, red, white
76.8, green, black
68.76, green, white
41.18, red, black
64.93, green, white
59.56, green, white
100.35, green, white
70.96, green, white
37.7, red, white
20.57, red, white
88.25, green, white
37.72, red, white
15.99, red, white
64.76, green, white
83.33, green, white
61.44, green, white
33.97, red, black
40.66, red, black
74.76, green, white
37.21, red, black
64.97, green, black
29.49, red, white
31.98, red, black
43.29, red, white
78.74, green, black
70.11, green, black
25.93, red, black
34.6, red, white
56.76, green, white
27.55, red, black
67.98, green, white
84.73, green, white
38.0, red, black
29.08, red, black
26.27, red, white
27.31, red, white
4.26, red, white
37.52, red, white
37.88, red, black
26.84, red, black
65.72, green, black
31.48, red, black
37.22, red, white
65.5, green, black
69.61, green, white
35.44, red, white
32.49, red, white
62.37, green, white
77.65, green, black
72.26, green, black
29.03, red, white
42.72, green, black
33.96, red, black
82.75, green, black
2.1, red, black
22.38, red, white
35.36, red, black
66.2, green, black
62.37, green, white
64.27, green, black
92.32, green, black
68.9, green, white
57.02, green, white
76.06, green, white
15.99, red, black
15.95, red, white
30.19, red, black
68.54, green, black
33.43, red, black
36.38, red, white
19.13, red, white
16.37, red, black
17.44, red, black
78.45, green, white
29.66, red, white
40.02, red, white
79.78, green, white
63.25, green, black
17.45, red, white
31.09, red, black
65.84, green, black
63.18, green, black
33.58, red, black
82.84, green, black
35.5, red, black
33.16, red, black
28.81, red, white
20.97, red, white
18.55, red, white
72.88, green, white
82.87, green, black
36.3, red, black
81.66, green, white
67.1, green, white
58.2, green, white
27.43, red, white
31.89, red, white
38.14, red, white
43.17, green, white
26.43, red, black
87.79, green, white
31.34, red, black
54.26, green, black
44.57, red, black
51.36, red, black
22.15, red, white
29.19, red, white
56.22, green, black
31.37, red, black
63.66, green, black
59.85, green, white
35.75, red, black
56.94, green, black
20.37, red, white
14.44, red, white
84.02, green, black
66.15, green, white
23.99, red, white
70.17, green, black
40.25, red, black
20.19, red, white
22.7, red, black
34.04, red, white
76.4, green, black
72.32, green, black
32.11, red, black
41.45, red, white
71.59, green, white
66.81, green, black
20.01, red, black
25.89, red, white
73.52, green, black
61.61, green, black
23.41, red, black
77.91, green, black
31.52, red, black
60.21, green, black
61.9, green, white
40.19, red, black
76.44, green, black
61.7, green, black
82.19, green, black
70.0, green, black
41.71, red, white
85.14, green, black
21.73, red, white
24.94, red, white
59.82, green, white
73.39, green, white
62.19, green, black
88.39, green, white
75.07, green, black
59.51, green, white
83.13, green, black
23.65, red, black
35.66, red, white
62.18, red, black
64.46, green, black
62.62, green, black
26.58, red, black
80.43, green, white
57.61, green, white
43.39, red, black
77.83, green, black
63.4, green, white
80.29, green, white
62.0, green, black
0.28, red, white
15.08, red, white
19.91, red, black
26.74, red, white
31.43, red, black
65.23, green, black
63.58, green, white
31.93, red, white
24.56, red, black
31.8, red, black
30.36, red, white
33.91, red, white
73.99, green, black
68.91, green, black
39.78, red, white
55.88, green, white
34.62, red, white
67.78, green, white
53.84, green, black
68.33, green, white
40.78, red, white
84.62, green, white
62.85, green, black
79.63, green, black
21.56, red, white
89.28, green, black
23.1, red, black
11.55, red, black
77.88, green, white
60.68, green, black
22.17, red, white
26.48, red, white
23.57, red, black
44.54, red, white
72.3, green, black
70.52, green, black
30.34, red, black
79.89, green, black
46.35, red, white
77.31, green, white
61.96, green, white
48.74, red, white
24.95, red, white
39.75, red, black
31.21, red, white
77.26, green, white
